Seller ID,Total Sales,Average Review Score
1cd9e0cc1839d55516843def5600816d,5,5.0
9fbd5666d8618fa571c4230fafa09bd6,1,5.0
d3891911c2feae53c52fea2bd14054e5,2,5.0
702835e4b785b67a084280efca355756,1,5.0
a20d8058c866dbaeca014d2cd20ac62e,2,5.0
a213f1bd6458f4a158f3746cb2514559,1,5.0
1d953075c2f0dd990bacf27b83b330f1,1,5.0
404e1ba01358af4cd63f679b2c4d1fa1,17,5.0
a2b911e9ad40dc7d61c142a4683e2d85,1,5.0
70126eecc6aa1274392a1743866e9678,3,5.0
